tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
NED32-3	NED32	0	Intrusive	Diabase		154.8	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
NED32-4	NED32	0	Intrusive	Diabase		153.0	0.0	0	90.0	-28	This study	SO-CMD-NORTH	g	i
NED32-5	NED32	0	Intrusive	Diabase		144.3	0.0	0	90.0	-28	This study	SO-CMD-NORTH	g	i
NED32-6	NED32	0	Intrusive	Diabase		162.6	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
NED32-7	NED32	0	Intrusive	Diabase		151.9	0.0	0	90.0	-23	This study	SO-CMD-NORTH	g	i
NED32-8	NED32	0	Intrusive	Diabase		156.2	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
NED32-9	NED32	0	Intrusive	Diabase		159.1	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
NED35-1	NED35	0	Intrusive	Diabase		128.8	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
NED35-2	NED35	0	Intrusive	Diabase		117.8	0.0	0	90.0	-68	This study	SO-CMD-NORTH	g	i
NED35-3	NED35	0	Intrusive	Diabase		122.8	0.0	0	90.0	-71	This study	SO-CMD-NORTH	g	i
NED35-4	NED35	0	Intrusive	Diabase		89.8	0.0	0	90.0	-41	This study	SO-CMD-NORTH	g	i
NED35-6	NED35	0	Intrusive	Diabase		94.8	0.0	0	90.0	-44	This study	SO-CMD-NORTH	g	i
NED35-7	NED35	0	Intrusive	Diabase		81.8	0.0	0	90.0	-42	This study	SO-CMD-NORTH	g	i
NED35-8	NED35	0	Intrusive	Diabase		82.8	0.0	0	90.0	-49	This study	SO-CMD-NORTH	g	i
NED35-9	NED35	0	Intrusive	Diabase		72.8	0.0	0	90.0	-46	This study	SO-CMD-NORTH	g	i
NED19-7	NED19	0	Intrusive	Diabase		241.4	0.0	0	90.9	-46	This study	SO-CMD-NORTH	g	i
NED19-8	NED19	0	Intrusive	Diabase		246.8	0.0	0	90.9	-47	This study	SO-CMD-NORTH	g	i
NED11-1	NED11	0	Intrusive	Diabase		302.9	0.0	0	90.9	-20	This study	SO-CMD-NORTH	g	i
NED11-2	NED11	0	Intrusive	Diabase		295.8	0.0	0	90.9	-18	This study	SO-CMD-NORTH	g	i
NED11-3	NED11	0	Intrusive	Diabase		311.4	0.0	0	90.9	-12	This study	SO-CMD-NORTH	g	i
NED11-4	NED11	0	Intrusive	Diabase		241.4	0.0	0	90.9	-4	This study	SO-CMD-NORTH	g	i
NED11-5	NED11	0	Intrusive	Diabase		286.7	0.0	0	90.9	-17	This study	SO-CMD-NORTH	g	i
NED11-6	NED11	0	Intrusive	Diabase		20.7	0.0	0	90.9	-9	This study	SO-CMD-NORTH	g	i
NED11-7	NED11	0	Intrusive	Diabase		99.1	0.0	0	90.9	-34	This study	SO-CMD-NORTH	g	i
NED11-8	NED11	0	Intrusive	Diabase		89.1	0.0	0	90.9	-46	This study	SO-CMD-NORTH	g	i
NED16-1	NED16	0	Intrusive	Diabase		288.9	0.0	0	90.9	-25	This study	SO-CMD-NORTH	g	i
NED16-2	NED16	0	Intrusive	Diabase		264.9	0.0	0	90.9	-24	This study	SO-CMD-NORTH	g	i
NED16-3	NED16	0	Intrusive	Diabase		233.9	0.0	0	90.9	-24	This study	SO-CMD-NORTH	g	i
NED16-4	NED16	0	Intrusive	Diabase		178.9	0.0	0	90.9	-7	This study	SO-CMD-NORTH	g	i
NED16-5	NED16	0	Intrusive	Diabase		168.9	0.0	0	90.9	-10	This study	SO-CMD-NORTH	g	i
NED16-6	NED16	0	Intrusive	Diabase		99.9	0.0	0	90.9	-35	This study	SO-CMD-NORTH	g	i
NED16-7	NED16	0	Intrusive	Diabase		99.9	0.0	0	90.9	-35	This study	SO-CMD-NORTH	g	i
NED16-8	NED16	0	Intrusive	Diabase		155.1	0.0	0	90.9	-16	This study	SO-CMD-NORTH	g	i
NED34-1	NED34	0	Intrusive	Diabase		118.0	0.0	0	90.0	-88	This study	SO-CMD-NORTH	g	i
NED34-2	NED34	0	Intrusive	Diabase		116.7	0.0	0	90.0	-83	This study	SO-CMD-NORTH	g	i
NED34-3	NED34	0	Intrusive	Diabase		119.9	0.0	0	90.0	-82	This study	SO-CMD-NORTH	g	i
NED34-4	NED34	0	Intrusive	Diabase		89.8	0.0	0	90.0	-56	This study	SO-CMD-NORTH	g	i
NED34-5	NED34	0	Intrusive	Diabase		111.0	0.0	0	90.0	-37	This study	SO-CMD-NORTH	g	i
NED34-6	NED34	0	Intrusive	Diabase		120.4	0.0	0	90.0	-40	This study	SO-CMD-NORTH	g	i
NED34-7	NED34	0	Intrusive	Diabase		120.1	0.0	0	90.0	-43	This study	SO-CMD-NORTH	g	i
NED34-8	NED34	0	Intrusive	Diabase		121.5	0.0	0	90.0	-41	This study	SO-CMD-NORTH	g	i
NED33-1	NED33	0	Intrusive	Diabase		92.8	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
NED33-2	NED33	0	Intrusive	Diabase		87.8	0.0	0	90.0	-58	This study	SO-CMD-NORTH	g	i
NED33-3	NED33	0	Intrusive	Diabase		90.8	0.0	0	90.0	-42	This study	SO-CMD-NORTH	g	i
NED33-4	NED33	0	Intrusive	Diabase		87.8	0.0	0	90.0	-42	This study	SO-CMD-NORTH	g	i
NED33-5	NED33	0	Intrusive	Diabase		142.2	0.0	0	90.0	-3	This study	SO-CMD-NORTH	g	i
NED33-6	NED33	0	Intrusive	Diabase		250.4	0.0	0	90.0	-15	This study	SO-CMD-NORTH	g	i
NED33-7	NED33	0	Intrusive	Diabase		237.6	0.0	0	90.0	-20	This study	SO-CMD-NORTH	g	i
NED33-8	NED33	0	Intrusive	Diabase		333.7	0.0	0	90.0	-18	This study	SO-CMD-NORTH	g	i
NED26-1	NED26	0	Intrusive	Diabase		153.8	0.0	0	90.0	-18	This study	SO-CMD-NORTH	g	i
NED26-2	NED26	0	Intrusive	Diabase		143.8	0.0	0	90.0	-15	This study	SO-CMD-NORTH	g	i
NED26-3	NED26	0	Intrusive	Diabase		113.8	0.0	0	90.0	-30	This study	SO-CMD-NORTH	g	i
NED26-4	NED26	0	Intrusive	Diabase		131.8	0.0	0	90.0	-14	This study	SO-CMD-NORTH	g	i
NED26-5	NED26	0	Intrusive	Diabase		148.8	0.0	0	90.0	-13	This study	SO-CMD-NORTH	g	i
NED26-6	NED26	0	Intrusive	Diabase		215.8	0.0	0	90.0	-45	This study	SO-CMD-NORTH	g	i
NED26-7	NED26	0	Intrusive	Diabase		209.8	0.0	0	90.0	-47	This study	SO-CMD-NORTH	g	i
NED26-8	NED26	0	Intrusive	Diabase		213.8	0.0	0	90.0	-50	This study	SO-CMD-NORTH	g	i
NED21-1	NED21	0	Intrusive	Diabase		146.6	0.0	0	90.0	-54	This study	SO-CMD-NORTH	g	i
NED21-2	NED21	0	Intrusive	Diabase		177.7	0.0	0	90.0	-30	This study	SO-CMD-NORTH	g	i
NED21-3	NED21	0	Intrusive	Diabase		156.3	0.0	0	90.0	-45	This study	SO-CMD-NORTH	g	i
NED21-4	NED21	0	Intrusive	Diabase		242.1	0.0	0	90.0	-40	This study	SO-CMD-NORTH	g	i
NED21-5	NED21	0	Intrusive	Diabase		251.1	0.0	0	90.0	-19	This study	SO-CMD-NORTH	g	i
NED21-6	NED21	0	Intrusive	Diabase		263.4	0.0	0	90.0	-35	This study	SO-CMD-NORTH	g	i
NED21-7	NED21	0	Intrusive	Diabase		255.3	0.0	0	90.0	-12	This study	SO-CMD-NORTH	g	i
NED21-8	NED21	0	Intrusive	Diabase		249.9	0.0	0	90.0	-34	This study	SO-CMD-NORTH	g	i
RFG1-1	RFG1	0	Intrusive	Granite		247.3	0.0	0	90.9	-44	This study	SO-CMD-NORTH	g	i
RFG1-2	RFG1	0	Intrusive	Granite		248.1	0.0	0	90.9	-55	This study	SO-CMD-NORTH	g	i
RFG1-3	RFG1	0	Intrusive	Granite		277.9	0.0	0	90.9	-52	This study	SO-CMD-NORTH	g	i
RFG1-4	RFG1	0	Intrusive	Granite		261.1	0.0	0	90.9	-46	This study	SO-CMD-NORTH	g	i
RFG1-5	RFG1	0	Intrusive	Granite		267.8	0.0	0	90.9	-26	This study	SO-CMD-NORTH	g	i
RFG1-6	RFG1	0	Intrusive	Granite		267.1	0.0	0	90.9	-50	This study	SO-CMD-NORTH	g	i
RFG1-7	RFG1	0	Intrusive	Granite		278.1	0.0	0	90.9	-50	This study	SO-CMD-NORTH	g	i
RFG1-8	RFG1	0	Intrusive	Granite		290.1	0.0	0	90.9	-35	This study	SO-CMD-NORTH	g	i
RFG1-9	RFG1	0	Intrusive	Granite		283.5	0.0	0	90.9	-32	This study	SO-CMD-NORTH	g	i
RFG1-10	RFG1	0	Intrusive	Granite		329.1	0.0	0	90.9	-34	This study	SO-CMD-NORTH	g	i
RFG1-11	RFG1	0	Intrusive	Granite		191.5	0.0	0	90.9	-21	This study	SO-CMD-NORTH	g	i
RFG1-12	RFG1	0	Intrusive	Granite		223.0	0.0	0	90.9	-17	This study	SO-CMD-NORTH	g	i
RFG1-13	RFG1	0	Intrusive	Granite		287.8	0.0	0	90.9	-44	This study	SO-CMD-NORTH	g	i
NED17-1	NED17	0	Intrusive	Diabase		189.9	0.0	0	90.9	-97	This study	SO-CMD-NORTH	g	i
NED17-2	NED17	0	Intrusive	Diabase		182.9	0.0	0	90.9	-96	This study	SO-CMD-NORTH	g	i
NED17-3	NED17	0	Intrusive	Diabase		173.9	0.0	0	90.9	-79	This study	SO-CMD-NORTH	g	i
NED17-4	NED17	0	Intrusive	Diabase		162.9	0.0	0	90.9	-79	This study	SO-CMD-NORTH	g	i
NED17-5	NED17	0	Intrusive	Diabase		141.9	0.0	0	90.9	-78	This study	SO-CMD-NORTH	g	i
NED17-6	NED17	0	Intrusive	Diabase		140.9	0.0	0	90.9	-82	This study	SO-CMD-NORTH	g	i
NED17-7	NED17	0	Intrusive	Diabase		201.9	0.0	0	90.9	-61	This study	SO-CMD-NORTH	g	i
NED17-8	NED17	0	Intrusive	Diabase		216.9	0.0	0	90.9	-40	This study	SO-CMD-NORTH	g	i
NED17-9	NED17	0	Intrusive	Diabase		190.9	0.0	0	90.9	-85	This study	SO-CMD-NORTH	g	i
NED17-10	NED17	0	Intrusive	Diabase		193.9	0.0	0	90.9	-86	This study	SO-CMD-NORTH	g	i
NED17-11	NED17	0	Intrusive	Diabase		198.9	0.0	0	90.9	-67	This study	SO-CMD-NORTH	g	i
NED10-1	NED10	0	Intrusive	Diabase		0.0	0.0	0	90.9	0	This study	SO-CMD-NORTH	g	i
NED10-2	NED10	0	Intrusive	Diabase		238.9	0.0	0	90.9	-58	This study	SO-CMD-NORTH	g	i
NED10-3	NED10	0	Intrusive	Diabase		226.9	0.0	0	90.9	-55	This study	SO-CMD-NORTH	g	i
NED10-4	NED10	0	Intrusive	Diabase		196.9	0.0	0	90.9	-34	This study	SO-CMD-NORTH	g	i
NED10-5	NED10	0	Intrusive	Diabase		219.1	0.0	0	90.9	-44	This study	SO-CMD-NORTH	g	i
NED10-6	NED10	0	Intrusive	Diabase		162.7	0.0	0	90.9	-41	This study	SO-CMD-NORTH	g	i
NED10-7	NED10	0	Intrusive	Diabase		157.2	0.0	0	90.9	-43	This study	SO-CMD-NORTH	g	i
NED10-8	NED10	0	Intrusive	Diabase		154.1	0.0	0	90.9	-44	This study	SO-CMD-NORTH	g	i
NED2-1	NED2	0	Intrusive	Diabase		267.9	0.0	0	90.9	-88	This study	SO-CMD-NORTH	g	i
NED2-2	NED2	0	Intrusive	Diabase		264.9	0.0	0	90.9	-84	This study	SO-CMD-NORTH	g	i
NED2-3	NED2	0	Intrusive	Diabase		232.9	0.0	0	90.9	-81	This study	SO-CMD-NORTH	g	i
NED2-4	NED2	0	Intrusive	Diabase		252.9	0.0	0	90.9	-63	This study	SO-CMD-NORTH	g	i
NED2-5	NED2	0	Intrusive	Diabase		241.9	0.0	0	90.9	-64	This study	SO-CMD-NORTH	g	i
NED2-6	NED2	0	Intrusive	Diabase		258.9	0.0	0	90.9	-51	This study	SO-CMD-NORTH	g	i
NED2-7	NED2	0	Intrusive	Diabase		235.9	0.0	0	90.9	-76	This study	SO-CMD-NORTH	g	i
NED2-8	NED2	0	Intrusive	Diabase		182.9	0.0	0	90.9	-38	This study	SO-CMD-NORTH	g	i
NWD1-9	NWD1	0	Intrusive	Diabase		214.9	0.0	0	90.9	-72	This study	SO-CMD-NORTH	g	i
NWD1-10	NWD1	0	Intrusive	Diabase		214.9	0.0	0	90.9	-71	This study	SO-CMD-NORTH	g	i
NWD1-11	NWD1	0	Intrusive	Diabase		215.9	0.0	0	90.9	-77	This study	SO-CMD-NORTH	g	i
NWD1-12	NWD1	0	Intrusive	Diabase		221.9	0.0	0	90.9	-80	This study	SO-CMD-NORTH	g	i
NED7-1	NED7	0	Intrusive	Diabase		26.3	0.0	0	90.9	-35	This study	SO-CMD-NORTH	g	i
NED7-2	NED7	0	Intrusive	Diabase		331.5	0.0	0	90.9	-17	This study	SO-CMD-NORTH	g	i
NED7-3	NED7	0	Intrusive	Diabase		32.1	0.0	0	90.9	-30	This study	SO-CMD-NORTH	g	i
NED7-4	NED7	0	Intrusive	Diabase		316.3	0.0	0	90.9	-20	This study	SO-CMD-NORTH	g	i
NED7-5	NED7	0	Intrusive	Diabase		335.0	0.0	0	90.9	-11	This study	SO-CMD-NORTH	g	i
NED7-6	NED7	0	Intrusive	Diabase		3.5	0.0	0	90.9	-25	This study	SO-CMD-NORTH	g	i
NED7-7	NED7	0	Intrusive	Diabase		6.6	0.0	0	90.9	-21	This study	SO-CMD-NORTH	g	i
NED7-8	NED7	0	Intrusive	Diabase		39.5	0.0	0	90.9	-13	This study	SO-CMD-NORTH	g	i
NED6-1	NED6	0	Intrusive	Diabase		35.9	0.0	0	90.9	-5	This study	SO-CMD-NORTH	g	i
NED6-2	NED6	0	Intrusive	Diabase		87.9	0.0	0	90.9	-6	This study	SO-CMD-NORTH	g	i
NED6-3	NED6	0	Intrusive	Diabase		6.9	0.0	0	90.9	-12	This study	SO-CMD-NORTH	g	i
NED6-4	NED6	0	Intrusive	Diabase		326.9	0.0	0	90.9	-32	This study	SO-CMD-NORTH	g	i
NED6-5	NED6	0	Intrusive	Diabase		85.9	0.0	0	90.9	-6	This study	SO-CMD-NORTH	g	i
NED6-6	NED6	0	Intrusive	Diabase		49.9	0.0	0	90.9	-7	This study	SO-CMD-NORTH	g	i
NED6-7	NED6	0	Intrusive	Diabase		326.9	0.0	0	90.9	-14	This study	SO-CMD-NORTH	g	i
NED6-8	NED6	0	Intrusive	Diabase		140.9	0.0	0	90.9	-20	This study	SO-CMD-NORTH	g	i
NED6-9	NED6	0	Intrusive	Diabase		147.9	0.0	0	90.9	-17	This study	SO-CMD-NORTH	g	i
NED1-1	NED1	0	Intrusive	Diabase		354.9	0.0	0	90.0	-13	This study	SO-CMD-NORTH	g	i
NED1-2	NED1	0	Intrusive	Diabase		356.9	0.0	0	90.0	-10	This study	SO-CMD-NORTH	g	i
NED1-3	NED1	0	Intrusive	Diabase		82.9	0.0	0	90.0	-15	This study	SO-CMD-NORTH	g	i
NED1-4	NED1	0	Intrusive	Diabase		334.9	0.0	0	90.0	-17	This study	SO-CMD-NORTH	g	i
NED1-5	NED1	0	Intrusive	Diabase		242.9	0.0	0	90.0	-30	This study	SO-CMD-NORTH	g	i
NED1-6	NED1	0	Intrusive	Diabase		306.9	0.0	0	90.0	-42	This study	SO-CMD-NORTH	g	i
NED1-7	NED1	0	Intrusive	Diabase		299.9	0.0	0	90.0	-48	This study	SO-CMD-NORTH	g	i
NED1-8	NED1	0	Intrusive	Diabase		301.9	0.0	0	90.0	-29	This study	SO-CMD-NORTH	g	i
NED19-1	NED19	0	Intrusive	Diabase		105.5	0.0	0	90.9	-26	This study	SO-CMD-NORTH	g	i
NED19-2	NED19	0	Intrusive	Diabase		98.1	0.0	0	90.9	-29	This study	SO-CMD-NORTH	g	i
NED19-3	NED19	0	Intrusive	Diabase		272.7	0.0	0	90.9	-22	This study	SO-CMD-NORTH	g	i
NED19-4	NED19	0	Intrusive	Diabase		262.9	0.0	0	90.9	-22	This study	SO-CMD-NORTH	g	i
NED19-5	NED19	0	Intrusive	Diabase		225.5	0.0	0	90.9	-20	This study	SO-CMD-NORTH	g	i
NED19-6	NED19	0	Intrusive	Diabase		247.1	0.0	0	90.9	-23	This study	SO-CMD-NORTH	g	i
SCG1-1	SCG1	0	Intrusive	Diabase		166.9	0.0	0	90.9	-75	This study	SO-CMD-NORTH	g	i
SCG1-2	SCG1	0	Intrusive	Diabase		166.9	0.0	0	90.9	-66	This study	SO-CMD-NORTH	g	i
SCG1-3	SCG1	0	Intrusive	Diabase		177.9	0.0	0	90.9	-103	This study	SO-CMD-NORTH	g	i
NED28-1	NED28	0	Intrusive	Diabase		144.2	0.0	0	90.0	-3	This study	SO-CMD-NORTH	g	i
NED28-2	NED28	0	Intrusive	Diabase		157.6	0.0	0	90.0	-7	This study	SO-CMD-NORTH	g	i
NED28-3	NED28	0	Intrusive	Diabase		181.9	0.0	0	90.0	-4	This study	SO-CMD-NORTH	g	i
NED28-4	NED28	0	Intrusive	Diabase		99.8	0.0	0	90.0	-4	This study	SO-CMD-NORTH	g	i
NED28-5	NED28	0	Intrusive	Diabase		159.5	0.0	0	90.0	-5	This study	SO-CMD-NORTH	g	i
NED3-1	NED3	0	Intrusive	Diabase		148.5	0.0	0	90.9	-24	This study	SO-CMD-NORTH	g	i
NED3-2	NED3	0	Intrusive	Diabase		128.9	0.0	0	90.9	-26	This study	SO-CMD-NORTH	g	i
NED3-3	NED3	0	Intrusive	Diabase		129.8	0.0	0	90.9	-24	This study	SO-CMD-NORTH	g	i
NED3-4	NED3	0	Intrusive	Diabase		125.2	0.0	0	90.9	-29	This study	SO-CMD-NORTH	g	i
NED3-5	NED3	0	Intrusive	Diabase		107.5	0.0	0	90.9	-19	This study	SO-CMD-NORTH	g	i
NED3-6	NED3	0	Intrusive	Diabase		126.1	0.0	0	90.9	-16	This study	SO-CMD-NORTH	g	i
NED3-7	NED3	0	Intrusive	Diabase		141.6	0.0	0	90.9	-12	This study	SO-CMD-NORTH	g	i
NED3-8	NED3	0	Intrusive	Diabase		122.2	0.0	0	90.9	-10	This study	SO-CMD-NORTH	g	i
NED4-1	NED4	0	Intrusive	Diabase		210.3	0.0	0	90.0	-20	This study	SO-CMD-NORTH	g	i
NED4-2	NED4	0	Intrusive	Diabase		159.6	0.0	0	90.0	-25	This study	SO-CMD-NORTH	g	i
NED4-3	NED4	0	Intrusive	Diabase		162.5	0.0	0	90.0	-16	This study	SO-CMD-NORTH	g	i
NED4-4	NED4	0	Intrusive	Diabase		255.9	0.0	0	90.0	-27	This study	SO-CMD-NORTH	g	i
NED4-5	NED4	0	Intrusive	Diabase		250.7	0.0	0	90.0	-30	This study	SO-CMD-NORTH	g	i
NED4-6	NED4	0	Intrusive	Diabase		252.1	0.0	0	90.0	-26	This study	SO-CMD-NORTH	g	i
NED4-7	NED4	0	Intrusive	Diabase		258.9	0.0	0	90.0	-21	This study	SO-CMD-NORTH	g	i
NED4-8	NED4	0	Intrusive	Diabase		218.7	0.0	0	90.0	-17	This study	SO-CMD-NORTH	g	i
NWD1-1	NWD1	0	Intrusive	Diabase		192.9	0.0	0	90.9	-69	This study	SO-CMD-NORTH	g	i
NWD1-2	NWD1	0	Intrusive	Diabase		194.9	0.0	0	90.9	-69	This study	SO-CMD-NORTH	g	i
NWD1-3	NWD1	0	Intrusive	Diabase		307.9	0.0	0	90.9	-71	This study	SO-CMD-NORTH	g	i
NWD1-4	NWD1	0	Intrusive	Diabase		282.9	0.0	0	90.9	-81	This study	SO-CMD-NORTH	g	i
NWD1-5	NWD1	0	Intrusive	Diabase		270.9	0.0	0	90.9	-83	This study	SO-CMD-NORTH	g	i
NWD1-6	NWD1	0	Intrusive	Diabase		257.9	0.0	0	90.9	-78	This study	SO-CMD-NORTH	g	i
NWD1-7	NWD1	0	Intrusive	Diabase		266.9	0.0	0	90.9	-78	This study	SO-CMD-NORTH	g	i
NWD1-8	NWD1	0	Intrusive	Diabase		281.9	0.0	0	90.9	-78	This study	SO-CMD-NORTH	g	i
NWD1-13	NWD1	0	Intrusive	Diabase		65.8	0.0	0	90.0	-12	This study	SO-CMD-NORTH	g	i
NWD1-14	NWD1	0	Intrusive	Diabase		59.8	0.0	0	90.0	-19	This study	SO-CMD-NORTH	g	i
NWD1-15	NWD1	0	Intrusive	Diabase		79.8	0.0	0	90.0	-20	This study	SO-CMD-NORTH	g	i
NWD1-16	NWD1	0	Intrusive	Diabase		147.8	0.0	0	90.0	-8	This study	SO-CMD-NORTH	g	i
NWD1-17	NWD1	0	Intrusive	Diabase		72.8	0.0	0	90.0	-55	This study	SO-CMD-NORTH	g	i
NWD1-18	NWD1	0	Intrusive	Diabase		99.8	0.0	0	90.0	-20	This study	SO-CMD-NORTH	g	i
NWD1-19	NWD1	0	Intrusive	Diabase		65.8	0.0	0	90.0	-80	This study	SO-CMD-NORTH	g	i
NED18-1	NED18	0	Intrusive	Diabase		320.9	0.0	0	90.9	-13	This study	SO-CMD-NORTH	g	i
NED18-2	NED18	0	Intrusive	Diabase		313.9	0.0	0	90.9	-13	This study	SO-CMD-NORTH	g	i
NED18-3	NED18	0	Intrusive	Diabase		297.9	0.0	0	90.9	-28	This study	SO-CMD-NORTH	g	i
NED18-4	NED18	0	Intrusive	Diabase		283.9	0.0	0	90.9	-29	This study	SO-CMD-NORTH	g	i
NED18-5	NED18	0	Intrusive	Diabase		288.9	0.0	0	90.9	-33	This study	SO-CMD-NORTH	g	i
NED18-6	NED18	0	Intrusive	Diabase		294.9	0.0	0	90.9	-28	This study	SO-CMD-NORTH	g	i
NED18-7	NED18	0	Intrusive	Diabase		267.9	0.0	0	90.9	-45	This study	SO-CMD-NORTH	g	i
NED18-8	NED18	0	Intrusive	Diabase		337.9	0.0	0	90.9	-53	This study	SO-CMD-NORTH	g	i
NED5-1	NED5	0	Intrusive	Diabase		189.4	0.0	0	90.9	-27	This study	SO-CMD-NORTH	g	i
NED5-2	NED5	0	Intrusive	Diabase		195.1	0.0	0	90.9	-29	This study	SO-CMD-NORTH	g	i
NED5-3	NED5	0	Intrusive	Diabase		86.1	0.0	0	90.9	-27	This study	SO-CMD-NORTH	g	i
NED5-4	NED5	0	Intrusive	Diabase		105.1	0.0	0	90.9	-26	This study	SO-CMD-NORTH	g	i
NED5-5	NED5	0	Intrusive	Diabase		51.1	0.0	0	90.9	-36	This study	SO-CMD-NORTH	g	i
NED5-6	NED5	0	Intrusive	Diabase		60.1	0.0	0	90.9	-33	This study	SO-CMD-NORTH	g	i
NED5-7	NED5	0	Intrusive	Diabase		83.5	0.0	0	90.9	-20	This study	SO-CMD-NORTH	g	i
NED5-8	NED5	0	Intrusive	Diabase		130.8	0.0	0	90.9	-23	This study	SO-CMD-NORTH	g	i
NED29-1	NED29	0	Intrusive	Diabase		327.5	0.0	0	90.0	-30	This study	SO-CMD-NORTH	g	i
NED29-2	NED29	0	Intrusive	Diabase		342.0	0.0	0	90.0	-23	This study	SO-CMD-NORTH	g	i
NED29-3	NED29	0	Intrusive	Diabase		340.9	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
NED29-4	NED29	0	Intrusive	Diabase		335.7	0.0	0	90.0	-30	This study	SO-CMD-NORTH	g	i
NED29-5	NED29	0	Intrusive	Diabase		338.2	0.0	0	90.0	-20	This study	SO-CMD-NORTH	g	i
NED29-6	NED29	0	Intrusive	Diabase		333.4	0.0	0	90.0	-25	This study	SO-CMD-NORTH	g	i
NED29-7	NED29	0	Intrusive	Diabase		333.9	0.0	0	90.0	-27	This study	SO-CMD-NORTH	g	i
NED29-8	NED29	0	Intrusive	Diabase		317.6	0.0	0	90.0	-31	This study	SO-CMD-NORTH	g	i
NED29-9	NED29	0	Intrusive	Diabase		318.1	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
NED31-1	NED31	0	Intrusive	Diabase		82.2	0.0	0	90.0	-1	This study	SO-CMD-NORTH	g	i
NED31-2	NED31	0	Intrusive	Diabase		179.0	0.0	0	90.0	-4	This study	SO-CMD-NORTH	g	i
NED31-3	NED31	0	Intrusive	Diabase		70.0	0.0	0	90.0	-6	This study	SO-CMD-NORTH	g	i
NED31-4	NED31	0	Intrusive	Diabase		59.2	0.0	0	90.0	-9	This study	SO-CMD-NORTH	g	i
NED31-5	NED31	0	Intrusive	Diabase		44.1	0.0	0	90.0	-4	This study	SO-CMD-NORTH	g	i
NED36-1	NED36	0	Intrusive	Diabase		55.8	0.0	0	90.0	-36	This study	SO-CMD-NORTH	g	i
NED36-2	NED36	0	Intrusive	Diabase		53.8	0.0	0	90.0	-39	This study	SO-CMD-NORTH	g	i
NED36-3	NED36	0	Intrusive	Diabase		43.8	0.0	0	90.0	-41	This study	SO-CMD-NORTH	g	i
NED36-4	NED36	0	Intrusive	Diabase		53.8	0.0	0	90.0	-49	This study	SO-CMD-NORTH	g	i
NED36-5	NED36	0	Intrusive	Diabase		41.8	0.0	0	90.0	-54	This study	SO-CMD-NORTH	g	i
NED36-7	NED36	0	Intrusive	Diabase		35.8	0.0	0	90.0	-66	This study	SO-CMD-NORTH	g	i
NED36-8	NED36	0	Intrusive	Diabase		38.8	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
NED23-1	NED23	0	Intrusive	Diabase		228.7	0.0	0	90.0	-37	This study	SO-CMD-NORTH	g	i
