tab	locations
location	age	age_sigma	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	citations
ECMB	1779	3	Ma	45.53728	45.51387	265.76964	265.7369	Intrusive	Diabase	Region	This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
NED12-2b_LP-DIR-AF-58	NED12-2b_LP-DIR-AF	NED12-2b	2.5	245.2	2.3	0.09	0	0	0	26	273	This study	hargrave 2018-10-13 22:11:23	LT-AF-Z:LP-DIR-AF	g	58	u	4	273	pmagpy-4.2.28	9.17e-07	2.21e-08	5.85e-09	3.2900000000000003e-08
NED12-2b_LP-DIR-AF-59	NED12-2b_LP-DIR-AF	NED12-2b	2.4	245.0	1.9	0.1	0	0	0	27	273	This study	hargrave 2018-10-13 22:12:44	LT-AF-Z:LP-DIR-AF	g	59	u	4	273	pmagpy-4.2.28	8.629999999999998e-07	2.04e-08	4.6e-09	3.1e-08
NED12-2b_LP-DIR-AF-60	NED12-2b_LP-DIR-AF	NED12-2b	2.6	244.6	1.8	0.11	0	0	0	28	273	This study	hargrave 2018-10-13 22:14:13	LT-AF-Z:LP-DIR-AF	g	60	u	4	273	pmagpy-4.2.28	8e-07	2.07e-08	7.509999999999999e-09	2.88e-08
NED12-2b_LP-DIR-AF-61	NED12-2b_LP-DIR-AF	NED12-2b	2.5	245.4	1.5	0.12	0	0	0	29	273	This study	hargrave 2018-10-13 22:15:36	LT-AF-Z:LP-DIR-AF	g	61	u	4	273	pmagpy-4.2.28	7.45e-07	1.82e-08	4.55e-09	2.69e-08
NED12-2b_LP-DIR-AF-62	NED12-2b_LP-DIR-AF	NED12-2b	2.4	245.4	1.7	0.13	0	0	0	30	273	This study	hargrave 2018-10-13 22:17:00	LT-AF-Z:LP-DIR-AF	g	62	u	4	273	pmagpy-4.2.28	6.92e-07	1.6e-08	3.67e-09	2.48e-08
NED12-3b_LP-DIR-AF-63	NED12-3b_LP-DIR-AF	NED12-3b	3.1	185.7	32	0	0	0	0	0	273	This study	hargrave 2018-10-13 22:18:32	LT-NO:LP-DIR-AF	g	63	u	4	273	pmagpy-4.2.28	2.04e-06	3.72e-08	7.019999999999999e-08	8.08e-08
NED12-3b_LP-DIR-AF-64	NED12-3b_LP-DIR-AF	NED12-3b	3	187.4	31.9	0.001	0	0	0	1	273	This study	hargrave 2018-10-13 22:20:55	LT-AF-Z:LP-DIR-AF	g	64	u	4	273	pmagpy-4.2.28	2.04e-06	3.92e-08	6.12e-08	8.119999999999999e-08
NED12-3b_LP-DIR-AF-65	NED12-3b_LP-DIR-AF	NED12-3b	3.1	187.2	31.9	0.002	0	0	0	2	273	This study	hargrave 2018-10-13 22:23:13	LT-AF-Z:LP-DIR-AF	g	65	u	4	273	pmagpy-4.2.28	2.03e-06	4.01e-08	6.51e-08	8.07e-08
NED12-3b_LP-DIR-AF-66	NED12-3b_LP-DIR-AF	NED12-3b	3.2	187.1	31.9	0.003	0	0	0	3	273	This study	hargrave 2018-10-13 22:24:35	LT-AF-Z:LP-DIR-AF	g	66	u	4	273	pmagpy-4.2.28	2.01e-06	3.93e-08	7.28e-08	8.050000000000001e-08
NED12-3b_LP-DIR-AF-67	NED12-3b_LP-DIR-AF	NED12-3b	3.2	186.2	32	0.004	0	0	0	4	273	This study	hargrave 2018-10-13 22:25:56	LT-AF-Z:LP-DIR-AF	g	67	u	4	273	pmagpy-4.2.28	1.99e-06	3.78e-08	7.139999999999999e-08	7.86e-08
NED12-3b_LP-DIR-AF-68	NED12-3b_LP-DIR-AF	NED12-3b	3.2	185.3	32.1	0.005	0	0	0	5	273	This study	hargrave 2018-10-13 22:27:18	LT-AF-Z:LP-DIR-AF	g	68	u	4	273	pmagpy-4.2.28	1.96e-06	3.72e-08	7.03e-08	7.72e-08
NED12-3b_LP-DIR-AF-69	NED12-3b_LP-DIR-AF	NED12-3b	3.2	182.7	32.1	0.0075	0	0	0	6	273	This study	hargrave 2018-10-13 22:28:39	LT-AF-Z:LP-DIR-AF	g	69	u	4	273	pmagpy-4.2.28	1.87e-06	3.39e-08	7.019999999999999e-08	7.37e-08
NED12-3b_LP-DIR-AF-70	NED12-3b_LP-DIR-AF	NED12-3b	3.2	181.0	32	0.01	0	0	0	7	273	This study	hargrave 2018-10-13 22:30:00	LT-AF-Z:LP-DIR-AF	g	70	u	4	273	pmagpy-4.2.28	1.81e-06	3.2e-08	6.62e-08	7.15e-08
NED12-3b_LP-DIR-AF-71	NED12-3b_LP-DIR-AF	NED12-3b	3.3	180.6	31.9	0.0125	0	0	0	8	273	This study	hargrave 2018-10-13 22:31:21	LT-AF-Z:LP-DIR-AF	g	71	u	4	273	pmagpy-4.2.28	1.79e-06	3.64e-08	6.61e-08	6.99e-08
NED12-3b_LP-DIR-AF-72	NED12-3b_LP-DIR-AF	NED12-3b	3.2	180.4	31.8	0.015	0	0	0	9	273	This study	hargrave 2018-10-13 22:32:43	LT-AF-Z:LP-DIR-AF	g	72	u	4	273	pmagpy-4.2.28	1.76e-06	3.07e-08	6.530000000000001e-08	6.900000000000001e-08
NED12-3b_LP-DIR-AF-73	NED12-3b_LP-DIR-AF	NED12-3b	3.2	180.7	31.6	0.0175	0	0	0	10	273	This study	hargrave 2018-10-13 22:34:04	LT-AF-Z:LP-DIR-AF	g	73	u	4	273	pmagpy-4.2.28	1.73e-06	2.98e-08	6.3e-08	6.8e-08
NED12-3b_LP-DIR-AF-74	NED12-3b_LP-DIR-AF	NED12-3b	3.2	181.2	31.2	0.02	0	0	0	11	273	This study	hargrave 2018-10-13 22:35:25	LT-AF-Z:LP-DIR-AF	g	74	u	4	273	pmagpy-4.2.28	1.69e-06	3.3e-08	6.19e-08	6.64e-08
NED12-3b_LP-DIR-AF-75	NED12-3b_LP-DIR-AF	NED12-3b	3.2	181.9	30.6	0.0225	0	0	0	12	273	This study	hargrave 2018-10-13 22:36:47	LT-AF-Z:LP-DIR-AF	g	75	u	4	273	pmagpy-4.2.28	1.64e-06	2.86e-08	5.98e-08	6.47e-08
NED12-3b_LP-DIR-AF-76	NED12-3b_LP-DIR-AF	NED12-3b	3.2	183.4	29.6	0.025	0	0	0	13	273	This study	hargrave 2018-10-13 22:38:08	LT-AF-Z:LP-DIR-AF	g	76	u	4	273	pmagpy-4.2.28	1.57e-06	2.71e-08	5.63e-08	6.22e-08
NED12-3b_LP-DIR-AF-77	NED12-3b_LP-DIR-AF	NED12-3b	3.2	184.7	28.5	0.0275	0	0	0	14	273	This study	hargrave 2018-10-13 22:39:30	LT-AF-Z:LP-DIR-AF	g	77	u	4	273	pmagpy-4.2.28	1.5e-06	2.54e-08	5.21e-08	6.12e-08
NED12-3b_LP-DIR-AF-78	NED12-3b_LP-DIR-AF	NED12-3b	3.1	186.2	27.1	0.03	0	0	0	15	273	This study	hargrave 2018-10-13 22:40:51	LT-AF-Z:LP-DIR-AF	g	78	u	4	273	pmagpy-4.2.28	1.42e-06	2.37e-08	4.79e-08	5.690000000000001e-08
NED12-3b_LP-DIR-AF-79	NED12-3b_LP-DIR-AF	NED12-3b	3	189.1	23.8	0.035	0	0	0	16	273	This study	hargrave 2018-10-13 22:42:11	LT-AF-Z:LP-DIR-AF	g	79	u	4	273	pmagpy-4.2.28	1.27e-06	1.98e-08	4.0599999999999986e-08	5.13e-08
NED12-3b_LP-DIR-AF-80	NED12-3b_LP-DIR-AF	NED12-3b	2.9	192.1	20.2	0.04	0	0	0	17	273	This study	hargrave 2018-10-13 22:43:32	LT-AF-Z:LP-DIR-AF	g	80	u	4	273	pmagpy-4.2.28	1.15e-06	1.6799999999999998e-08	3.44e-08	4.66e-08
NED12-3b_LP-DIR-AF-81	NED12-3b_LP-DIR-AF	NED12-3b	2.8	194.7	16.6	0.045	0	0	0	18	273	This study	hargrave 2018-10-13 22:44:53	LT-AF-Z:LP-DIR-AF	g	81	u	4	273	pmagpy-4.2.28	1.05e-06	1.44e-08	2.8e-08	4.26e-08
NED12-3b_LP-DIR-AF-82	NED12-3b_LP-DIR-AF	NED12-3b	2.7	197.0	13.2	0.05	0	0	0	19	273	This study	hargrave 2018-10-13 22:46:14	LT-AF-Z:LP-DIR-AF	g	82	u	4	273	pmagpy-4.2.28	9.82e-07	1.29e-08	2.37e-08	3.95e-08
NED12-3b_LP-DIR-AF-83	NED12-3b_LP-DIR-AF	NED12-3b	2.7	198.7	10.6	0.055	0	0	0	20	273	This study	hargrave 2018-10-13 22:47:35	LT-AF-Z:LP-DIR-AF	g	83	u	4	273	pmagpy-4.2.28	9.29e-07	1.18e-08	2.15e-08	3.72e-08
