tab	specimens																							
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
NED1-3b		NED1-3																This study	LP-NOMAG				ECMB	NED1
NED1-4b	NED1-4b_LP-DIR-AF	NED1-4		lc	135.7	65.3	2	5	-1	22.5	4.9	0.005	0.001	T	hargrave 2018-09-21 20:58:59	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-4b	NED1-4b_LP-DIR-AF	NED1-4		mc	179.4	56.9	2	8	-1	4.3	0.4	0.05	0.0225	T	hargrave 2018-09-21 20:58:59	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-4b	NED1-4b_LP-DIR-AF	NED1-4		mc	153.7	73.9	2	8	0	4.3	0.4	0.05	0.0225	T	hargrave 2018-09-21 20:58:59	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-4b	NED1-4b_LP-DIR-AF	NED1-4		lc	68.8	73	2	5	0	22.5	4.9	0.005	0.001	T	hargrave 2018-09-21 20:58:59	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-4b		NED1-4																This study	LP-NOMAG				ECMB	NED1
NED1-5b	NED1-5b_LP-DIR-AF	NED1-5		mc	212.7	56	2	4	-1	8.6	1.5	0.04	0.0275	T	hargrave 2018-09-21 21:43:56	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-5b	NED1-5b_LP-DIR-AF	NED1-5		lc	171.6	30.3	2	4	-1	39.1	3	0.003	0	T	hargrave 2018-09-21 21:43:56	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-5b	NED1-5b_LP-DIR-AF	NED1-5		lc	48.4	59.8	2	4	0	39.1	3	0.003	0	T	hargrave 2018-09-21 21:43:56	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-5b	NED1-5b_LP-DIR-AF	NED1-5		mc	154.1	72.4	2	4	0	8.6	1.5	0.04	0.0275	T	hargrave 2018-09-21 21:43:56	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-5b		NED1-5																This study	LP-NOMAG				ECMB	NED1
NED1-6b	NED1-6b_LP-DIR-AF	NED1-6		mc	191.5	34.8	1	5	-1	2.1	1.3	0.04	0.025	T	hargrave 2018-09-21 22:28:02	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-6b	NED1-6b_LP-DIR-AF	NED1-6		mc	164.1	74.2	1	5	0	2.1	1.3	0.04	0.025	T	hargrave 2018-09-21 22:28:02	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-6b		NED1-6																This study	LP-NOMAG				ECMB	NED1
NED1-7b	NED1-7b_LP-DIR-AF	NED1-7		mc	196	33.9	2	7	-1	5.4	1.1	0.045	0.0225	T	hargrave 2018-09-21 23:11:35	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-7b	NED1-7b_LP-DIR-AF	NED1-7		lc	156.9	30.3	2	3	-1	32.8	1.8	0.003	0.001	T	hargrave 2018-09-21 23:11:35	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-7b	NED1-7b_LP-DIR-AF	NED1-7		lc	54.7	68.1	2	3	0	32.8	1.8	0.003	0.001	T	hargrave 2018-09-21 23:11:35	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-7b	NED1-7b_LP-DIR-AF	NED1-7		mc	182.4	75.1	2	7	0	5.4	1.1	0.045	0.0225	T	hargrave 2018-09-21 23:11:35	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-7b		NED1-7																This study	LP-NOMAG				ECMB	NED1
NED1-8b	NED1-8b_LP-DIR-AF	NED1-8		lc	136.6	51.3	2	3	-1	34.1	20.6	0.003	0.001	T	hargrave 2018-09-21 23:57:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-8b	NED1-8b_LP-DIR-AF	NED1-8		mc	193.6	51.9	2	5	-1	2	0.6	0.04	0.025	T	hargrave 2018-09-21 23:57:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-8b	NED1-8b_LP-DIR-AF	NED1-8		mc	167.5	78.3	2	5	0	2	0.6	0.04	0.025	T	hargrave 2018-09-21 23:57:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-8b	NED1-8b_LP-DIR-AF	NED1-8		lc	34.4	64.5	2	3	0	34.1	20.6	0.003	0.001	T	hargrave 2018-09-21 23:57:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-8b		NED1-8																This study	LP-NOMAG				ECMB	NED1
NED10-1b	NED10-1b_LP-DIR-AF	NED10-1		lc	89.9	-6.1	1	3	-1	98.6	4.1	0.003	0.001	T	hargrave 2018-10-13 00:18:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-1b	NED10-1b_LP-DIR-AF	NED10-1		lc	89.9	-6.1	1	3	0	98.6	4.1	0.003	0.001	T	hargrave 2018-10-13 00:18:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-1b		NED10-1																This study	LP-NOMAG				ECMB	NED10
NED10-2b	NED10-2b_LP-DIR-AF	NED10-2		lc	80.5	-6	1	5	-1	97.2	13.3	0.004	0	T	hargrave 2018-10-13 01:03:14	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-2b	NED10-2b_LP-DIR-AF	NED10-2		lc	329	-11.2	1	5	0	97.2	13.3	0.004	0	T	hargrave 2018-10-13 01:03:14	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-2b		NED10-2																This study	LP-NOMAG				ECMB	NED10
NED10-3b	NED10-3b_LP-DIR-AF	NED10-3		lc	70.6	-7.5	2	3	-1	99.4	2.8	0.003	0.001	T	hargrave 2018-10-13 01:46:21	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-3b	NED10-3b_LP-DIR-AF	NED10-3		mc	200.7	49.8	2	6	-1	9	2.1	0.04	0.0225	T	hargrave 2018-10-13 01:46:21	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-3b	NED10-3b_LP-DIR-AF	NED10-3		lc	311.9	-20.1	2	3	0	99.4	2.8	0.003	0.001	T	hargrave 2018-10-13 01:46:21	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-3b	NED10-3b_LP-DIR-AF	NED10-3		mc	187.6	68.9	2	6	0	9	2.1	0.04	0.0225	T	hargrave 2018-10-13 01:46:21	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-3b		NED10-3																This study	LP-NOMAG				ECMB	NED10
NED10-4b	NED10-4b_LP-DIR-AF	NED10-4		mc	159.8	72.4	2	11	-1	12.4	5.7	0.06	0.02	T	hargrave 2018-10-13 02:29:20	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-4b	NED10-4b_LP-DIR-AF	NED10-4		lc	50.9	-32.9	2	4	-1	104.2	2	0.004	0.001	T	hargrave 2018-10-13 02:29:20	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-4b	NED10-4b_LP-DIR-AF	NED10-4		lc	275.1	-48.3	2	4	0	104.2	2	0.004	0.001	T	hargrave 2018-10-13 02:29:20	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-4b	NED10-4b_LP-DIR-AF	NED10-4		mc	216.2	71.6	2	11	0	12.4	5.7	0.06	0.02	T	hargrave 2018-10-13 02:29:20	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-4b		NED10-4																This study	LP-NOMAG				ECMB	NED10
NED10-5b	NED10-5b_LP-DIR-AF	NED10-5		mc	185.6	61.1	2	7	-1	9.4	7.3	0.04	0.02	T	hargrave 2018-10-13 03:12:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-5b	NED10-5b_LP-DIR-AF	NED10-5		lc	27.4	-13.2	2	3	-1	97.3	3.5	0.003	0.001	T	hargrave 2018-10-13 03:12:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-5b	NED10-5b_LP-DIR-AF	NED10-5		lc	263.1	-49.9	2	3	0	97.3	3.5	0.003	0.001	T	hargrave 2018-10-13 03:12:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-5b	NED10-5b_LP-DIR-AF	NED10-5		mc	209	74.5	2	7	0	9.4	7.3	0.04	0.02	T	hargrave 2018-10-13 03:12:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-5b		NED10-5																This study	LP-NOMAG				ECMB	NED10
NED10-6b	NED10-6b_LP-DIR-AF	NED10-6		mc	160.3	57.3	2	12	-1	9.8	6.4	0.06	0.0175	T	hargrave 2018-10-13 03:57:16	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-6b	NED10-6b_LP-DIR-AF	NED10-6		lc	54.8	-25.2	2	4	-1	78.9	2	0.004	0.001	T	hargrave 2018-10-13 03:57:16	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-6b	NED10-6b_LP-DIR-AF	NED10-6		mc	210.1	75.7	2	12	0	9.8	6.4	0.06	0.0175	T	hargrave 2018-10-13 03:57:16	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-6b	NED10-6b_LP-DIR-AF	NED10-6		lc	243.9	-41.5	2	4	0	78.9	2	0.004	0.001	T	hargrave 2018-10-13 03:57:16	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-6b		NED10-6																This study	LP-NOMAG				ECMB	NED10
NED10-7b	NED10-7b_LP-DIR-AF	NED10-7		mc	161.7	59.7	2	7	-1	9.3	9.8	0.06	0.03	T	hargrave 2018-10-13 14:12:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-7b	NED10-7b_LP-DIR-AF	NED10-7		lc	54.6	-32	2	4	-1	88.3	2	0.005	0.002	T	hargrave 2018-10-13 14:12:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-7b	NED10-7b_LP-DIR-AF	NED10-7		mc	190.8	73.4	2	7	0	9.3	9.8	0.06	0.03	T	hargrave 2018-10-13 14:12:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-7b	NED10-7b_LP-DIR-AF	NED10-7		lc	247.4	-46.3	2	4	0	88.3	2	0.005	0.002	T	hargrave 2018-10-13 14:12:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-7b		NED10-7																This study	LP-NOMAG				ECMB	NED10
NED10-8b	NED10-8b_LP-DIR-AF	NED10-8		lc	50.5	-22.8	2	5	-1	68.4	1.2	0.005	0.001	T	hargrave 2018-10-13 14:55:36	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-8b	NED10-8b_LP-DIR-AF	NED10-8		mc	162.6	58.5	2	11	-1	8.2	6.4	0.06	0.02	T	hargrave 2018-10-13 14:55:36	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED10
NED10-8b	NED10-8b_LP-DIR-AF	NED10-8		mc	187.8	73.7	2	11	0	8.2	6.4	0.06	0.02	T	hargrave 2018-10-13 14:55:36	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-8b	NED10-8b_LP-DIR-AF	NED10-8		lc	232	-43.3	2	5	0	68.4	1.2	0.005	0.001	T	hargrave 2018-10-13 14:55:36	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED10
NED10-8b		NED10-8																This study	LP-NOMAG				ECMB	NED10
NED11-1b	NED11-1b_LP-DIR-AF	NED11-1		lc	24.2	23.4	2	8	-1	50.2	7.4	0.0125	0.001	T	hargrave 2018-10-13 15:39:05	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-1b	NED11-1b_LP-DIR-AF	NED11-1		hc	328.2	49.5	2	5	-1	1.4	2.3	0.12	0.08	T	hargrave 2018-10-13 15:39:05	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-1b	NED11-1b_LP-DIR-AF	NED11-1		hc	279.1	31.7	2	5	0	1.4	2.3	0.12	0.08	T	hargrave 2018-10-13 15:39:05	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-1b	NED11-1b_LP-DIR-AF	NED11-1		lc	325.1	5	2	8	0	50.2	7.4	0.0125	0.001	T	hargrave 2018-10-13 15:39:05	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-1b		NED11-1																This study	LP-NOMAG				ECMB	NED11
NED11-2b	NED11-2b_LP-DIR-AF	NED11-2		hc	345.2	52.6	3	4	-1	0	1.7	0.13	0.1	T	hargrave 2018-10-13 16:22:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR	g			ECMB	NED11
NED11-2b	NED11-2b_LP-DIR-AF	NED11-2		hc	284.9	35.1	3	4	0	0	1.7	0.13	0.1	T	hargrave 2018-10-13 16:22:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			ECMB	NED11
NED11-2b	NED11-2b_LP-DIR-AF	NED11-2		lc	37.9	37.3	3	5	-1	49.9	1.3	0.015	0.005	T	hargrave 2018-10-13 16:22:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-2b	NED11-2b_LP-DIR-AF	NED11-2		mc	201.6	64.8	3	5	-1	28.2	1.1	0.05	0.03	T	hargrave 2018-10-13 16:22:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-2b	NED11-2b_LP-DIR-AF	NED11-2		lc	327.7	22.4	3	5	0	49.9	1.3	0.015	0.005	T	hargrave 2018-10-13 16:22:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-2b	NED11-2b_LP-DIR-AF	NED11-2		mc	174	79.3	3	5	0	28.2	1.1	0.05	0.03	T	hargrave 2018-10-13 16:22:15	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-2b		NED11-2																This study	LP-NOMAG				ECMB	NED11
NED11-3b	NED11-3b_LP-DIR-AF	NED11-3		lc	46.3	32	2	4	-1	61.6	1.3	0.01	0.004	T	hargrave 2018-10-13 17:05:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-3b	NED11-3b_LP-DIR-AF	NED11-3		mc	214.2	64.6	2	6	-1	13.7	0.7	0.05	0.0275	T	hargrave 2018-10-13 17:05:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-3b	NED11-3b_LP-DIR-AF	NED11-3		lc	353.3	23.4	2	4	0	61.6	1.3	0.01	0.004	T	hargrave 2018-10-13 17:05:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-3b	NED11-3b_LP-DIR-AF	NED11-3		mc	188.1	73.2	2	6	0	13.7	0.7	0.05	0.0275	T	hargrave 2018-10-13 17:05:34	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-3b		NED11-3																This study	LP-NOMAG				ECMB	NED11
NED11-4b	NED11-4b_LP-DIR-AF	NED11-4		hc	63.1	37.3	3	4	-1	0	4	0.13	0.1	T	hargrave 2018-10-13 17:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR	g			ECMB	NED11
NED11-4b	NED11-4b_LP-DIR-AF	NED11-4		hc	301.9	35.4	3	4	0	0	4	0.13	0.1	T	hargrave 2018-10-13 17:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			ECMB	NED11
NED11-4b	NED11-4b_LP-DIR-AF	NED11-4		lc	102	36	3	4	-1	51.8	2.2	0.01	0.004	T	hargrave 2018-10-13 17:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-4b	NED11-4b_LP-DIR-AF	NED11-4		mc	274.9	72.9	3	6	-1	17.9	1.3	0.055	0.03	T	hargrave 2018-10-13 17:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-4b	NED11-4b_LP-DIR-AF	NED11-4		lc	340.5	36.7	3	4	0	51.8	2.2	0.01	0.004	T	hargrave 2018-10-13 17:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-4b	NED11-4b_LP-DIR-AF	NED11-4		mc	168.8	72.1	3	6	0	17.9	1.3	0.055	0.03	T	hargrave 2018-10-13 17:49:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-4b		NED11-4																This study	LP-NOMAG				ECMB	NED11
NED11-5b	NED11-5b_LP-DIR-AF	NED11-5		hc	10.2	70.2	3	4	-1	0	5.3	0.13	0.1	T	hargrave 2018-10-13 18:33:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR	g			ECMB	NED11
NED11-5b	NED11-5b_LP-DIR-AF	NED11-5		hc	292.5	53.4	3	4	0	0	5.3	0.13	0.1	T	hargrave 2018-10-13 18:33:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			ECMB	NED11
NED11-5b	NED11-5b_LP-DIR-AF	NED11-5		mc	207.8	60.3	3	9	-1	11.7	1.8	0.06	0.025	T	hargrave 2018-10-13 18:33:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-5b	NED11-5b_LP-DIR-AF	NED11-5		lc	57.2	56.3	3	4	-1	51	1.3	0.0125	0.005	T	hargrave 2018-10-13 18:33:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-5b	NED11-5b_LP-DIR-AF	NED11-5		lc	328	45	3	4	0	51	1.3	0.0125	0.005	T	hargrave 2018-10-13 18:33:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-5b	NED11-5b_LP-DIR-AF	NED11-5		mc	161	73.5	3	9	0	11.7	1.8	0.06	0.025	T	hargrave 2018-10-13 18:33:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-5b		NED11-5																This study	LP-NOMAG				ECMB	NED11
NED11-6b	NED11-6b_LP-DIR-AF	NED11-6		hc	270.8	54	3	3	-1	0	3.2	0.13	0.11	T	hargrave 2018-10-13 19:16:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR	g			ECMB	NED11
NED11-6b	NED11-6b_LP-DIR-AF	NED11-6		hc	303.6	52.9	3	3	0	0	3.2	0.13	0.11	T	hargrave 2018-10-13 19:16:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			ECMB	NED11
NED11-6b	NED11-6b_LP-DIR-AF	NED11-6		mc	155.6	66.4	3	8	-1	11.6	0.9	0.065	0.03	T	hargrave 2018-10-13 19:16:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-6b	NED11-6b_LP-DIR-AF	NED11-6		lc	62.6	72.6	3	5	-1	20.4	0.6	0.0125	0.004	T	hargrave 2018-10-13 19:16:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-6b	NED11-6b_LP-DIR-AF	NED11-6		lc	63.6	67.1	3	5	0	20.4	0.6	0.0125	0.004	T	hargrave 2018-10-13 19:16:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-6b	NED11-6b_LP-DIR-AF	NED11-6		mc	163.4	74.2	3	8	0	11.6	0.9	0.065	0.03	T	hargrave 2018-10-13 19:16:55	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-6b		NED11-6																This study	LP-NOMAG				ECMB	NED11
NED11-7b	NED11-7b_LP-DIR-AF	NED11-7		mc	156.4	63.4	2	10	-1	5	0.8	0.065	0.025	T	hargrave 2018-10-13 20:00:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-7b	NED11-7b_LP-DIR-AF	NED11-7		lc	302.7	0.6	2	4	-1	84.1	5.7	0.004	0.001	T	hargrave 2018-10-13 20:00:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED11
NED11-7b	NED11-7b_LP-DIR-AF	NED11-7		lc	37.4	-17.1	2	4	0	84.1	5.7	0.004	0.001	T	hargrave 2018-10-13 20:00:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-7b	NED11-7b_LP-DIR-AF	NED11-7		mc	147.6	76.1	2	10	0	5	0.8	0.065	0.025	T	hargrave 2018-10-13 20:00:08	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED11
NED11-7b		NED11-7																This study	LP-NOMAG				ECMB	NED11
